Movie Title,TMDB Link
Apocalypse Now,https://www.themoviedb.org/movie/28
Apollo 13,https://www.themoviedb.org/movie/568
Babel,https://www.themoviedb.org/movie/1164
Life of Pi,https://www.themoviedb.org/movie/87827
Raging Bull,https://www.themoviedb.org/movie/1578
The Godfather: Part II,https://www.themoviedb.org/movie/242
Trainspotting,https://www.themoviedb.org/movie/627
12 Angry Men,https://www.themoviedb.org/movie/389
Analyze This,https://www.themoviedb.org/movie/9535
Elf,https://www.themoviedb.org/movie/10719
Fargo,https://www.themoviedb.org/movie/275
Hard Boiled,https://www.themoviedb.org/movie/11782
It's a Wonderful Life,https://www.themoviedb.org/movie/1585
La Haine,https://www.themoviedb.org/movie/406
Mulholland Drive,https://www.themoviedb.org/movie/1018
Pan's Labyrinth,https://www.themoviedb.org/movie/1417
Rashomon,https://www.themoviedb.org/movie/548
Some Like It Hot,https://www.themoviedb.org/movie/239
Tangerine,https://www.themoviedb.org/movie/308084
The Breakfast Club,https://www.themoviedb.org/movie/2108
The Sound of Music,https://www.themoviedb.org/movie/15121
The Wind Rises,https://www.themoviedb.org/movie/149870
True Romance,https://www.themoviedb.org/movie/319
Unforgiven,https://www.themoviedb.org/movie/33
Y Tu Mama Tambien,https://www.themoviedb.org/movie/1391
Yojimbo,https://www.themoviedb.org/movie/11878
